index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Spirit Ward	356	100		1					1		76	68	uts	ward		3	5000	dblu	dblu		invgtsu				ac%		130	200	abs-cold		6	15	res-all		20	30	block		20	30	block2		20	30	gethit-skill	Fade	7	10	ac-hth		150	200	ease		-20	20																		0
Kira's Guardian	357	100		1					1		85	77	ci2	tiara		3	5000	blac	blac						ac		50	210	res-all		50	70	nofreeze		1	1	balance2		24	48	regen-mana		10	30	regen		10	15	ease		-20	20																						0
Ormus' Robes	358	100		1					1		83	75	uui	dusk shroud		3	5000	blac	blac						ac		60	100	cast2		20	30	extra-fire		10	20	extra-cold		10	20	extra-ltng		10	20	regen-mana		30	50	skill-rand	3	36	60																						0
Gheed's Fortune	359	100		1					1		70	62	cm3	charm	1001	3	5000	lgld							mag%		20	30	gold%		80	100	light		10	10																																						0
Stormlash	360	100		1					1		86	82	7fl	scourge		3	5000	dgry	dgry						dmg%		240	300	swing2		30	50	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		201	473	light-thorns		30	50	crush		33	33	abs-ltng		3	12	ease		-20	20														0
Halaberd's Reign	361	100		1					1		85	77	bae	conqueror crown		3	5000								ac%		140	250	skilltab	13	1	3	bar		2	2	balance2		24	36	regen		15	23	oskill	Battle Orders	1	3	oskill	Battle Command	1	3																						0
Warriv's Warder	362	100			1				1							3	5000																																																									0
Spike Thorn	363	100		1					1		78	70	upk	blade barrier		5	5000	dyel	dyel		invspku				ac%		120	210	thorns/lvl	15			dur		250	250	balance2		48	48	red-dmg%		15	25	sock		1	3	ac-hth		150	200	ease		-20	20																		0
Dracul's Grasp	364	100		1					1		84	76	uvg	vampirebone gloves		5	5000	dred	dred						ac%		90	120	lifesteal		7	10	openwounds		10	15	hit-skill	Life Tap	5	10	heal-kill		5	15	str		10	25	swing2		10	30																						0
Frostwind	365	100		1					1		78	70	7ls	cryptic sword		5	5000	cblu	cblu		invlsdu				dmg%		200	325	freeze		4	4	half-freeze		1	1	dmg-cold	250	237	486	swing2		30	60	abs-cold%		7	25	oskill	Arctic Blast	14	30																						0
Templar's Might	366	100		1					8		82	74	uar	sacred armor		5	5000	cgrn	cgrn		invaaru				ac%		170	220	balance2		36	36	ac-miss		250	300	stam		40	80	str		10	20	vit		10	20	skilltab	10	3	5	red-dmg%		10	25																		0
Eschuta's temper	367	100		1					1		80	72	obc	eldritch orb		5	5000	cred							sor		2	3	cast2		40	60	extra-fire		10	30	extra-ltng		10	30	enr		20	30	mana		50	150	ease		-20	20																						0
Firelizard's Talons	368	100		1					1		75	67	7lw	feral claws		5	5000								dmg%		200	270	swing2		15	30	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	5	skill	Inferno Sentry	1	3																						0
Sandstorm Trek	369	100		1					1		72	64	uvb	scarabshell boots		5	5000								ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		30	30	res-pois		40	30	rep-dur	5			str		10	15	vit		10	15	BootsStam3		1	1	ease		-20	20						0
Marrowwalk	370	100		1					1		74	66	umb	boneweave boots		5	5000	dgry							ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	30	half-freeze		1	1	str		10	20	dex		17	17	reanimate	0	5	10	BootsStam3	1	1	1	ease		-20	20		0
Heaven's Light	371	100		1					1		69	61	7sc	mighty scepter		5	5000	cblu	cblu						dmg%		250	300	swing2		20	40	reduce-ac		66	66	light		6	6	demon-heal		15	30	crush		33	33	sock		2	3	pal		1	3	ease		-20	20														0
Merman's Speed	372	100			1																																																																					0
Arachnid Mesh	373	100		1					1		87	80	ulc	spiderweb sash		5	5000	blac	blac						ac%		90	120	cast2		10	25	gethit-skill	Cloak of Shadows	5	15	allskills		1	1	slow		10	30	mana%		5	10	balance2		24	24	ease		-20	20																		0
Nosferatu's Coil	374	100		1					1		68	51	uvc	vampirefang belt		5	5000								str		15	15	mana-kill		8	8	slow		10	20	lifesteal		5	9	swing2		10	30	light		-3	0	ac		90	115	balance2		24	24	ease		-20	20														0
Metalgrid	375	100		1					2		70	71	amu	amulet		5	5000								ac		300	350	res-all		15	35	att		400	450	oskill	IronGolem	3	9	kill-skill	Iron Maiden	8	15	ResBalanceSocket		1	1																										0
Verdugo's Hearty Cord	376	100		1					1		71	63	umc	mithril coil		5	5000	blac	blac						ac%		90	180	vit		30	40	stam		100	120	balance2		36	36	red-dmg%		10	15	regen		10	15	ease		-20	20																						0
Sigurd's Staunch	377	100			1				1							5	5000																																																									0
Carrion Wind	378	100		1					3		55	53	rin	ring		3	5000								ac-miss		100	160	lifesteal		6	9	res-pois		35	50	gethit-skill	Poison Nova	10	10	oskill	Plague Poppy	9	15	hit-skill	Twister	8	13	dmg-to-mana		10	10	SingleRes3		1	1																		0
Giantskull	379	100		1					1		73	65	uh9	bone visage		3	5000	lgry	lgry		invbhm				ac		250	320	str		25	35	crush		10	10	sock		2	2	knock		1	1	ac-miss		150	200	ease		-20	20																						0
Ironward	380	100		1					1		68	60	7ws	caduceus		3	5000	blac	blac						dmg%		240	290	slow		25	25	att%		150	200	swing2		10	40	dmg-mag		100	240	red-dmg		4	12	dmg		60	115	skilltab	9	2	4	crush		33	33	ease		-20	20										0
Annihilus	381	100		1					1		110	70	cm1	charm	1002	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10																																		0
Arioc's Needle	382	100		1					1		85	81	7sr	hyperion spear		3	5000								dmg%		180	315	dmg-pois	200	403	403	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30	openwounds		25	50	ease		-20	20																		0
Cranebeak	383	100		1					1		71	63	7mp	war spike		3	5000	dgry			invmpiu				dmg%		240	300	dmg-ltng		201	305	swing2		40	40	reduce-ac		25	25	mag%		20	50	oskill	Raven	8	15	ease		-20	20																						0
Nord's Tenderizer	384	100		1					1		76	68	7cl	truncheon		3	5000				invclbu				dmg%		270	330	freeze		2	4	swing2		25	35	hit-skill	Blizzard	6	16	att%		150	180	abs-cold%		5	20	dmg-cold	200	205	455	crush		10	15	ease		-20	20														0
Earthshifter	385	100		1					1		77	69	7gm	thunder maul		3	5000								dmg%		250	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	50	kill-skill	Volcano	10	14	skilltab	17	7	7	cast2		10	40	ease		-20	20																		0
Wraithflight	386	100		1					1		84	76	7gl	ghost glaive		3	5000	dblu	dblu						dmg%		150	250	rep-quant	99			lifesteal		9	13	mana-kill		15	30	ethereal		1	1	stack		120	120																										0
Bonehew	387	100		1					1		72	64	7o7	ogre axe		3	5000	bwht	bwht						dmg%		270	320	swing2		30	30	kill-skill	Corpse Explosion	20	14	hit-skill	Bone Spear	50	16	noheal		1	1	sock		2	5	slow		20	30	ease		-20	20																		0
Ondal's Wisdom	388	100		1					1		74	66	6cs	elder staff		3	5000				invcstu				cast2		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	10	red-mag		15	25	ease		-20	20																						0
The Reedeemer	389	100		1					1		80	72	7sc	mighty scepter		3	5000								dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-40	aura	Redemption	6	8	hit-skill	Holy Bolt	15	20	light		3	3	reduce-ac		33	33	dmg		60	120														0
Headhunter's Glory	390	100		1					1		83	75	ush	troll nest		3	5000				invbshu				ac		320	420	ac-hth		300	350	res-pois		30	40	sock		2	4	res-fire		20	30	heal-kill		18	22	ease		-20	20																						0
Steelrend	391	100		1					1		78	70	uhg	ogre gauntlets		3	5000								ac		170	210	str		15	35	dmg%		30	60	crush		10	10	swing2		10	30	ease		-20	20																										0
Rainbow Facet	392	100		1					1		70	44	jew	jewel		3	5000								light-thorns		10	20	pierce-ltng		3	5	extra-ltng		3	5	kill-skill	Chain Lightning	5	20																																		0
Rainbow Facet	393	100		1					1		70	44	jew	jewel		3	5000								thorns		15	30	pierce-cold		3	5	extra-cold		3	5	kill-skill	Blizzard	5	18																																		0
Rainbow Facet	394	100		1					1		70	44	jew	jewel		3	5000								thorns		15	30	pierce-fire		3	5	extra-fire		3	5	kill-skill	Meteor	5	15																																		0
Rainbow Facet	395	100		1					1		70	44	jew	jewel		3	5000								thorns		15	30	pierce-pois		3	5	extra-pois		3	5	kill-skill	Poison Nova	5	20																																		0
Rainbow Facet	396	100		1					1		70	44	jew	jewel		3	5000								light-thorns		10	20	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41																																		0
Rainbow Facet	397	100		1					1		70	44	jew	jewel		3	5000								thorns		15	30	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43																																		0
Rainbow Facet	398	100		1					1		70	44	jew	jewel		3	5000								thorns		15	30	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	41																																		0
Rainbow Facet	399	100		1					1		70	44	jew	jewel		3	5000								thorns		15	30	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	35																																		0
Hellfire Torch	400	100		1					1		110	65	cm2	charm	1003	3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill		0	7	all-stats		10	20	res-all		10	20	light		8	8	kill-skill	Apocalypse	3	10																														0
Cold Rupture	401	100			1		2	2	1		69	90	cm3	charm		3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-90	-70																																										0
Flame Rift	402	100			1		2	2	1		69	90	cm3	charm		3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-90	-70																																										0
Crack of the Heavens	403	100			1		2	2	1		69	90	cm3	charm		3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-90	-70																																										0
Rotting Fissure	404	100			1		2	2	1		69	90	cm3	charm		3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-90	-70																																										0
Bone Break	405	100			1		2	2	1		69	90	cm3	charm		3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-20	-10																																										0
Black Cleft	406	100			1		2	2	1		69	90	cm3	charm		3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-65	-45																																										0
Warlock Class Pack																																																																										0
Ars Al'Diablolos	408	100		1					1		85	80	waf	blasphemous grimoire		5	5000	cred	cred		invbbb				skilltab	23	2	2	gethit-skill	Terror	15	9	cast2		25	25	ac%		170	200	extra-fire		15	25	light		-4	5	mana-kill		5	12	res-fire		20	30	skill	Apocalypse	3	5	ac-hth		50	100	ease		33	33						0
Ars Tor'Baalos	409	100		1					1		85	73	wae	blasphemous compendium		5	5000				invbbb				skilltab	21	2	2	gethit-skill	Decrepify	15	8	skill	Demonic Mastery	2	3	skill	Blood Boil	2	4	skill	Engorge	2	3	skill	Consume	2	3	ac%	 	120	150	hp/lvl	12			red-dmg%		5	10	ac-hth		50	100	ease		33	33						0
Ars Dul'Mephistos	410	100		1					1		85	78	wac	occult tome		5	5000	cblu	cblu		invbbb				war		2	2	gethit-skill	Blizzard	15	28	cast2		20	30	balance1		30	30	dmg%		70	115	att%		50	70	ac%		140	170	pierce-mag		10	20	mag%		10	25	ac-hth		50	100	ease		33	33						0
Measured Wrath	411	100		1					3		45	40	wa6	burnt text		3	5000				invbbb				war		1	1	gethit-skill	Ring of Fire	5	25	cast2		25	25	ac%		130	180	skill	Summon Tainted	1	3	skill	Ring of Fire	1	3	skill	Flame Wave	1	3	vit		10	20	heal-kill		3	5	res-all		20	30	ease		33	33						0
Dreadfang	412	100		1					2		69	61	72h	legend sword		3	5000	blac	blac		inv2hsu				hit-skill	Amplify Damage	33	3	swing2		33	33	dmg%		133	166	manasteal		3	6	deadly		33	33	skill	Mirrored Blades	3	3	att%		33	33	ease		-33	-33																		0
Wraithstep	413	100		1					2		73	67	utb	mirrored boots		3	5000	lgry	lgry						skilltab-war		1	1	move2		30	30	balance1		20	20	ac		40	60	dex		10	15	enr		10	15																										0
Bloodpact Shard	414	100		1					2		73	67	7di	mithril point		3	5000	dred	dred						allskills		1	1	cast2		30	30	hp%		10	15	skill	Blood Oath	2	3	skill	Blood Boil	2	3	skill	Bind Demon	1	3	mag%		20	35	slow		25	25																		0
Sling	415	100		1					1		45	42	rin	Ring		3	5000			flprin					oskill	Townportal O Skill	1	1	cast2		10	10	pierce-mag		3	5	enr		10	15	slow		15	15	mag%		10	20																										0
Opalvein	416	100		1					1		45	45	rin	Ring		3	5000			flprin					att-skill	Flame Wave	2	15	magdam-rand		1	1	cast2		10	10	res-all		6	8	heal-kill		1	3	mana-kill		1	3																										0
Entropy Locket	417	100		1					1		52	42	amu	Amulet		3	5000								hit-skill	Miasma Chains	4	19	extra-mag		5	10	cast2		5	10	res-ltng		25	40	mana%		10	15	red-mag		8	12																										0
Gheed's Wager	418	100		1					1		79	71	utc	troll belt		3	5000	dgld	dgld						cast1		10	20	balance1		10	20	move2		10	20	ac%		90	150	pierce-mag		3	7	res-all		5	15	gold%		44	75																						0
Hellwardens Will	419	100		1					2		42	40	xsk	death mask		3	5000				invmsk				allskills		1	1	pierce-fire		5	8	pierce-mag		5	8	cast2		20	20	swing2		20	20	ac%		150	215	mana-kill		4	6																						0
Defender's Bile	420	100							1		110	75	cjw	jewel		3	5000				invgswe				gethit-skill	68	1	25	extra-pois		5	10	dmg-pois	25	975	975	pierce-pois		5	10	addxp		-3	5	mag%		15	35																										0
Guardian's Thunder	421	100							1		110	75	cjw	jewel		3	5000				invgswe				gethit-skill	235	1	25	extra-ltng		5	10	dmg-ltng		1	75	pierce-ltng		5	10	addxp		-3	5	mag%		15	35																										0
Protector's Frost	422	100							1		110	75	cjw	jewel		3	5000				invgswe				gethit-skill	40	1	25	extra-cold		5	10	dmg-cold	125	10	30	pierce-cold		5	10	addxp		-3	5	mag%		15	35																										0
Defender's Fire	423	100							1		110	75	cjw	jewel		3	5000				invgswe				gethit-skill	46	1	25	extra-fire		5	10	dmg-fire		20	60	pierce-fire		5	10	addxp		-3	5	mag%		15	35																										0
Protector's Stone	424	100							1		110	75	cjw	jewel		3	5000				invgswe				gethit-skill	267	1	15	dmg%		30	50	dmg-norm		10	30	pierce-dmg		5	10	addxp		-3	5	mag%		15	35																										0
Guardian's Light	425	100							1		110	75	cjw	jewel		3	5000				invgswe				gethit-skill	387	1	25	extra-mag		5	10	dmg-mag		15	35	pierce-mag		5	10	addxp		-3	5	mag%		15	35																										0
PreCrafted Cold Rupture	426	100		1					1		69	90	cm3	charm		3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-70	-70																																										0
Crafted Cold Rupture	427	100			1				1		69	90	cs2	charm	1004	3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-90	-70	Gelid-Affix1		1	1	Gelid-Affix2		1	1	Gelid-Affix3		1	1	Gelid-Affix4		1	1	Gelid-Affix6		1	1																						0
PreCrafted Flame Rift	428	100		1					1		69	90	cm3	charm		3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-70	-70																																										0
PreCrafted Crack of the Heavens	429	100		1					1		69	90	cm3	charm		3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-70	-70																																										0
PreCrafted Rotting Fissure	430	100		1					1		69	90	cm3	charm		3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-70	-70																																										0
PreCrafted Bone Break	431	100		1					1		69	90	cm3	charm		3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-20	-10																																										0
PreCrafted Black Cleft	432	100		1					1		69	90	cm3	charm		3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-45	-45																																										0
Crafted Flame Rift	433	100			1				1		69	90	cs2	charm	1004	3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-90	-70	Incendiary-Affix1		1	1	Incendiary-Affix2		1	1	Incendiary-Affix3		1	1	Incendiary-Affix4		1	1	Incendiary-Affix6		1	1																						0
Crafted Crack of the Heavens	434	100			1				1		69	90	cs2	charm	1004	3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-90	-70	Magnetic-Affix1		1	1	Magnetic-Affix2		1	1	Magnetic-Affix3		1	1	Magnetic-Affix4		1	1	Magnetic-Affix6		1	1																						0
Crafted Rotting Fissure	435	100			1				1		69	90	cs2	charm	1004	3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-90	-70	Virulent-Affix1		1	1	Virulent-Affix2		1	1	Virulent-Affix3		1	1	Virulent-Affix4		1	1	Virulent-Affix6		1	1																						0
Crafted Bone Break	436	100			1				1		69	90	cs2	charm	1004	3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-20	-15	Breaching-Affix1		1	1	Breaching-Affix2		1	1	Breaching-Affix3		1	1	Breaching-Affix4		1	1	Breaching-Affix6		1	1																						0
Crafted Black Cleft	437	100			1				1		69	90	cs2	charm	1004	3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-65	-45	Mystical-Affix1		1	1	Mystical-Affix2		1	1	Mystical-Affix3		1	1	Mystical-Affix4		1	1	Mystical-Affix6		1	1																						0
